Date,High,Low,Open,Close,Volume,Marketcap
27-12-2013 23:59,777.5100098,713.5999756,763.2800293,735.0700073,46862700,8955394564
28-12-2013 23:59,747.0599976,705.3499756,737.9799805,727.8300171,32505800,8869918644
29-12-2013 23:59,748.6099854,714.4400024,728.0499878,745.0499878,19011300,9082103621
30-12-2013 23:59,766.5999756,740.2399902,741.3499756,756.1300049,20707700,9217167990
31-12-2013 23:59,760.5800171,738.1699829,760.3200073,754.0100098,20897300,9191325349
01-01-2014 23:59,775.3499756,754.9699707,754.9699707,771.4000244,22489400,9403308145
02-01-2014 23:59,820.3099976,767.210022,773.4400024,802.3900146,38489500,9781073921
03-01-2014 23:59,834.1500244,789.1199951,802.8499756,818.7199707,37810100,9980135396
04-01-2014 23:59,859.5100098,801.6699829,823.2700195,859.5100098,38005000,10477362437
05-01-2014 23:59,952.4000244,854.5200195,858.5499878,933.5300293,72898496,11379660685
06-01-2014 23:59,1017.119995,905.710022,936.0499878,953.289978,85565696,11620533603
07-01-2014 23:59,965.7399902,802,946.4899902,802,81311696,9808299600
08-01-2014 23:59,870.6799927,776.1799927,795.9899902,842.7199707,74175600,10310363180
09-01-2014 23:59,864.3599854,804.1400146,841.4699707,846.8599854,59998600,10365397028
10-01-2014 23:59,871.1900024,822.5999756,846.6900024,868.4799805,31876800,10634081648
11-01-2014 23:59,921.4799805,861.7199707,867.3200073,913.9500122,44754200,11195636164
12-01-2014 23:59,928.5200195,851.1699829,919.5999756,863.2199707,39623500,10578653198
13-01-2014 23:59,861.289978,806.0499878,860.1900024,841.2000122,45580900,10312375950
14-01-2014 23:59,855.6900024,825.6599731,843.1699829,833.2700195,20829800,10218535832
15-01-2014 23:59,872.8099976,830.8599854,833.1199951,860.9000244,28107200,10561305975
16-01-2014 23:59,866.1599731,835.6300049,860.289978,835.6300049,19149300,10255185612
17-01-2014 23:59,842.9099731,797.6300049,834.4899902,814.6400146,39031700,10000663202
18-01-2014 23:59,841.4899902,816.0700073,816.0700073,840,18052700,10315662000
19-01-2014 23:59,870.960022,825.5300293,839.6599731,870.960022,24365700,10699504086
20-01-2014 23:59,886.3900146,853.8699951,871.3900146,870.2000122,27652700,10694453430
21-01-2014 23:59,881.2000122,855.9299927,869.6500244,863.9099731,18997300,10620283205
22-01-2014 23:59,870.1500244,837.3599854,867.210022,845.5900269,18453700,10399573174
23-01-2014 23:59,851.5700073,819.3200073,845.460022,822.039978,15607100,10113558120
24-01-2014 23:59,822.4299927,783.5800171,822.4299927,797.0700073,34912000,9810138293
25-01-2014 23:59,861.4500122,792.960022,796.2399902,853.6099854,24303900,10509539619
26-01-2014 23:59,897.0200195,844.8599854,853.6799927,885.2800293,32224300,10902798632
27-01-2014 23:59,893,757.1099854,884.5999756,771.3900146,49233600,9503544085
28-01-2014 23:59,832.5,766.9799805,774.0200195,812.5100098,44875500,10013251364
29-01-2014 23:59,836.8699951,809.8499756,809.960022,826,17984400,10182659550
30-01-2014 23:59,830.5,799.0599976,826.0200195,819.0300293,29918200,10100339387
31-01-2014 23:59,831.8699951,812.5999756,818.4299927,829.9199829,17107900,10238411820
01-02-2014 23:59,853.5200195,827.1099854,828.6099854,832.5800171,19668700,10275202812
02-02-2014 23:59,844.7199707,820.6699829,832.9000244,825.3699951,11300900,10190038654
03-02-2014 23:59,826.4799805,807.2199707,824.0800171,823.8300171,13940100,10174774202
04-02-2014 23:59,840.1699829,820.9400024,823.7700195,827.960022,16609700,10229342305
05-02-2014 23:59,837.3200073,811.9099731,829.960022,811.9099731,22395100,10034436286
06-02-2014 23:59,819.8099976,770.5900269,815.5900269,781.5499878,50108700,9662791119
07-02-2014 23:59,783.2000122,654.3499756,783.2000122,712.4000244,113643000,8810607000
08-02-2014 23:59,721.8200073,661.8699951,699.5700073,673.9199829,38742600,8337738240
09-02-2014 23:59,712.2700195,655.25,671.460022,682.9000244,39311400,8451228950
10-02-2014 23:59,703.710022,550.5,681.3200073,681.0300293,112758000,8430742782
11-02-2014 23:59,712.460022,636.6599731,683.5,672.1699829,72745200,8323817195
12-02-2014 23:59,672.9000244,643.039978,672.3800049,651.7199707,25367600,8073458481
13-02-2014 23:59,657.9899902,601.9099731,651.0800171,605.2399902,38588100,7500376176
